trip_id,time,isPassingPeriod,blank
20101,0725,,
20102,0745,,
20103,0810,,
20104,0850,,
20105,0910,,
20106,0930,,
20107,1040,,
20108,1100,,
20109,1120,,
20110,1145,,
20111,1225,,
20112,1245,,
20113,1305,,
20114,1325,,
20115,1345,,
20201,0730,,
20202,0750,,
20203,0820,,
20204,0900,,
20205,0920,,
20206,0940,,
20207,1005,,
20208,1025,,
20209,1130,,
20210,1155,,
20211,1215,,
20212,1235,,
20213,1310,,
20214,1335,,
20215,1415,,
20301,0735,,
20302,0755,,
20304,1010,,
20305,1125,,
20306,2350,,
20307,1210,,
20308,1315,,
20309,1340,,
20310,1420,,
20401,0725,,
20402,0745,,
20403,0810,,
20404,0850,,
20405,0910,,
20406,0930,,
20407,1040,,
20408,1100,,
20409,1120,,
20410,1145,,
20411,1225,,
20412,1245,,
20413,1305,,
20414,1335,,
20415,1405,,
20501,0730,,
20502,0750,,
20503,0820,,
20504,0900,,
20505,0920,,
20506,0940,,
20507,1005,,
20508,1025,,
20509,1130,,
20510,1155,,
20511,1215,,
20512,1235,,
20513,1310,,
20514,1355,,
20515,1415,,
20601,0735,,
20602,0755,,
20603,0815,,
20604,0835,,
20605,0915,,
20606,0935,,
20607,0955,,
20608,1015,,
20609,1050,,
20610,1110,,
20611,1135,,
20612,1300,,
20613,1320,,
20614,1340,,
20615,1425,,
20616,1445,,
20701,0730,,
20702,0745,,
20703,0800,,
20704,0815,,
20705,0900,,
20706,0915,,
20707,0930,,
20708,0945,,
20709,1015,,
20710,1030,,
20711,1130,,
20712,1145,,
20713,1200,,
20714,1215,,
20715,1300,,
20716,1315,,
20717,1400,,
20718,1415,,
20719,1430,,
20801,0730,,
20802,0745,,
20803,0800,,
20804,0815,,
20805,0900,,
20806,0915,,
20807,0930,,
20808,1000,,
20809,1015,,
20810,1030,,
20811,1130,,
20812,1145,,
20813,1200,,
20814,1215,,
20815,1300,,
20816,1315,,
20817,1415,,
20818,1435,,
20901,0945,,
20902,1010,,
20903,1145,,
20904,1210,,
20905,1245,,
20906,1310,,
20907,1400,,
20908,1445,,
20909,1510,,
21101,1300,,
21102,1320,,
21103,1355,,
21104,1445,,
21105,1510,,
21106,1535,,
