segment,start_stop,end_stop,start_time,end_time,run
Main Gate to WRM,2375,101,06:00:00,07:35:00,4
WRM to Sci Hill,101,2674,06:00:00,07:35:00,7
Science Hill to Cowste,2674,2676,06:00:00,07:35:00,4
Cowste to Main Gate,2676,2375,06:00:00,07:35:00,7
Main Gate to WRM,2375,101,07:35:00,07:50:00,4
WRM to Sci Hill,101,2674,07:35:00,07:50:00,7
Science Hill to Cowste,2674,2676,07:35:00,07:50:00,4
Cowste to Main Gate,2676,2375,07:35:00,07:50:00,7
Main Gate to WRM,2375,101,07:50:00,08:55:00,4
WRM to Sci Hill,101,2674,07:50:00,08:55:00,7
Science Hill to Cowste,2674,2676,07:50:00,08:55:00,4
Cowste to Main Gate,2676,2375,07:50:00,08:55:00,6
Main Gate to WRM,2375,101,08:55:00,09:15:00,4
WRM to Sci Hill,101,2674,08:55:00,09:15:00,7
Science Hill to Cowste,2674,2676,08:55:00,09:15:00,4
Cowste to Main Gate,2676,2375,08:55:00,09:15:00,6
Main Gate to WRM,2375,101,09:15:00,10:15:00,4
WRM to Sci Hill,101,2674,09:15:00,10:15:00,7
Science Hill to Cowste,2674,2676,09:15:00,10:15:00,4
Cowste to Main Gate,2676,2375,09:15:00,10:15:00,6
Main Gate to WRM,2375,101,10:15:00,10:35:00,4
WRM to Sci Hill,101,2674,10:15:00,10:35:00,7
Science Hill to Cowste,2674,2676,10:15:00,10:35:00,4
Cowste to Main Gate,2676,2375,10:15:00,10:35:00,6
Main Gate to WRM,2375,101,10:35:00,11:35:00,4
WRM to Sci Hill,101,2674,10:35:00,11:35:00,7
Science Hill to Cowste,2674,2676,10:35:00,11:35:00,4
Cowste to Main Gate,2676,2375,10:35:00,11:35:00,6
Main Gate to WRM,2375,101,11:35:00,11:55:00,4
WRM to Sci Hill,101,2674,11:35:00,11:55:00,7
Science Hill to Cowste,2674,2676,11:35:00,11:55:00,4
Cowste to Main Gate,2676,2375,11:35:00,11:55:00,6
Main Gate to WRM,2375,101,11:55:00,12:55:00,4
WRM to Sci Hill,101,2674,11:55:00,12:55:00,7
Science Hill to Cowste,2674,2676,11:55:00,12:55:00,4
Cowste to Main Gate,2676,2375,11:55:00,12:55:00,6
Main Gate to WRM,2375,101,12:55:00,13:15:00,4
WRM to Sci Hill,101,2674,12:55:00,13:15:00,7
Science Hill to Cowste,2674,2676,12:55:00,13:15:00,4
Cowste to Main Gate,2676,2375,12:55:00,13:15:00,6
Main Gate to WRM,2375,101,13:15:00,14:15:00,4
WRM to Sci Hill,101,2674,13:15:00,14:15:00,7
Science Hill to Cowste,2674,2676,13:15:00,14:15:00,4
Cowste to Main Gate,2676,2375,13:15:00,14:15:00,6
Main Gate to WRM,2375,101,14:15:00,14:45:00,4
WRM to Sci Hill,101,2674,14:15:00,14:45:00,7
Science Hill to Cowste,2674,2676,14:15:00,14:45:00,4
Cowste to Main Gate,2676,2375,14:15:00,14:45:00,6
Main Gate to WRM,2375,101,14:45:00,15:25:00,4
WRM to Sci Hill,101,2674,14:45:00,15:25:00,7
Science Hill to Cowste,2674,2676,14:45:00,15:25:00,4
Cowste to Main Gate,2676,2375,14:45:00,15:25:00,6
Main Gate to WRM,2375,101,15:25:00,15:55:00,4
WRM to Sci Hill,101,2674,15:25:00,15:55:00,7
Science Hill to Cowste,2674,2676,15:25:00,15:55:00,4
Cowste to Main Gate,2676,2375,15:25:00,15:55:00,6
Main Gate to WRM,2375,101,15:55:00,16:05:00,4
WRM to Sci Hill,101,2674,15:55:00,16:05:00,7
Science Hill to Cowste,2674,2676,15:55:00,16:05:00,4
Cowste to Main Gate,2676,2375,15:55:00,16:05:00,6
Main Gate to WRM,2375,101,16:05:00,16:45:00,4
WRM to Sci Hill,101,2674,16:05:00,16:45:00,7
Science Hill to Cowste,2674,2676,16:05:00,16:45:00,4
Cowste to Main Gate,2676,2375,16:05:00,16:45:00,6
Main Gate to WRM,2375,101,16:45:00,17:15:00,4
WRM to Sci Hill,101,2674,16:45:00,17:15:00,7
Science Hill to Cowste,2674,2676,16:45:00,17:15:00,4
Cowste to Main Gate,2676,2375,16:45:00,17:15:00,6
Main Gate to WRM,2375,101,17:15:00,17:25:00,4
WRM to Sci Hill,101,2674,17:15:00,17:25:00,7
Science Hill to Cowste,2674,2676,17:15:00,17:25:00,4
Cowste to Main Gate,2676,2375,17:15:00,17:25:00,6
Main Gate to WRM,2375,101,17:25:00,18:35:00,4
WRM to Sci Hill,101,2674,17:25:00,18:35:00,7
Science Hill to Cowste,2674,2676,17:25:00,18:35:00,4
Cowste to Main Gate,2676,2375,17:25:00,18:35:00,6
Main Gate to WRM,2375,101,18:35:00,18:55:00,4
WRM to Sci Hill,101,2674,17:25:00,18:35:00,7
Science Hill to Cowste,2674,2676,17:25:00,18:35:00,4
Cowste to Main Gate,2676,2375,17:25:00,18:35:00,6
Main Gate to WRM,2375,101,18:55:00,19:05:00,4
WRM to Sci Hill,101,2674,18:55:00,19:05:00,7
Science Hill to Cowste,2674,2676,18:55:00,19:05:00,4
Cowste to Main Gate,2676,2375,18:55:00,19:05:00,6
Main Gate to WRM,2375,101,19:05:00,23:59:00,4
WRM to Sci Hill,101,2674,19:05:00,23:59:00,7
Science Hill to Cowste,2674,2676,19:05:00,23:59:00,4
Cowste to Main Gate,2676,2375,19:05:00,23:59:00,5
